field,type,unit_or_values,required,description
run_id,string,unique,true,唯一实验运行ID
episode_id,string,unique_within_run,true,episode标识
algorithm,enum,Fixed-DWA|TEB-Default|TEB-Tuned|Rule-TEB|RL-TEB-Direct-Theta|RL-TEB-Semantic-Eta|RL-TEB-Eta-NoSafety|RL-TEB-Eta-ProjectionOnly|RL-TEB-Eta-FullSafety|RL-TEB-Eta-NoFallback,true,算法组
scene_id,string,manifest_id,true,场景ID
scene_split,enum,train|validation|test_id|test_ood|test_disturbance|real,true,数据划分
training_seed,int,integer,false,学习策略训练种子
seed,int,integer,true,配对评估种子
config_version,string,immutable,true,冻结配置版本
git_commit,string,sha,true,主仓commit
git_dirty,bool,true|false,true,运行时是否dirty
submodule_commits_json,string,json,true,子模块commit映射
policy_checkpoint_sha256,string,sha256,false,策略权重hash
scenario_manifest_sha256,string,sha256,true,场景manifest hash
localization_mode,enum,gazebo|gps|fast_lio,true,定位模式
success,bool,true|false,true,时限内安全到达
collision,bool,true|false,true,碰撞是否发生
terminated,bool,true|false,true,自然或安全终止
truncated,bool,true|false,true,时间/基础设施/人工截断
termination_reason,enum,goal|collision|timeout|planner_failure|sensor_fault|tf_fault|interface_fault|emergency_stop|operator_stop|infrastructure_fault,true,唯一结束原因
path_length,float,m,true,执行轨迹长度
navigation_time,float,s,true,从启动到结束时间
path_efficiency,float,ratio,false,参考最短可行长度除以实际长度
smoothness,float,documented_cost,true,冻结定义的平滑代价
linear_acc_rms,float,m_s2,false,线加速度RMS
angular_acc_rms,float,rad_s2,false,角加速度RMS
min_obstacle_distance,float,m,true,障碍物到footprint最小净空
near_collision_time_ratio,float,ratio,true,低于warning阈值的时间占比
parameter_adjustment_count,int,count,true,参数更新窗口数
parameter_total_variation,float,normalized_l1,true,参数总变差
projection_intervention_count,int,count,true,投影修改次数
safety_filter_intervention_count,int,count,true,完整过滤修改次数
safety_fallback_count,int,count,true,回退激活次数
fallback_duration,float,s,true,回退总时长
fallback_recovery_count,int,count,true,成功恢复次数
planner_failure_count,int,count,true,TEB无可行轨迹次数
candidate_parameter_violation_count,int,count,true,候选越界或速率违约数
semantic_direction_consistency,float,ratio,false,预注册语义方向一致率
inference_latency_mean,float,ms,true,平均推理时延
parameter_write_latency_mean,float,ms,true,request到ack平均时延
parameter_activation_latency_mean,float,ms,true,request到首个完整TEB周期平均时延
operator_intervention_count,int,count,true,人工介入次数
bag_uri,string,path,false,原始rosbag位置
notes,string,text,false,备注
